N,graph_type,graph_params,protocol,alpha,noise_std,p_drop,seed,spectral_gap,convergence_step,final_var,final_range,final_mean,final_l2_error,min_l2_error,elapsed_sec,converged,byzantine_fraction
50,ring,{},metropolis,0.5,0.0,0.2,0,0.01577059737104393,1000,5.168029783502987,8.394199415443412,1.990265898389082,258.4014891751493,68.52628641279256,0.2015378475189209,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,1,0.01577059737104393,1000,5.328261664796454,8.821436323063164,2.595988296913598,266.4130832398227,111.9058987539671,0.1804647445678711,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,2,0.01577059737104393,1000,7.122029179411004,8.087049045381885,2.827068183669486,356.1014589705502,77.17339882279929,0.1756134033203125,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,3,0.01577059737104393,1000,6.009786831164536,7.943646692412424,3.212783944290487,300.48934155822684,119.81928002018493,0.17691469192504883,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,4,0.01577059737104393,1000,4.806790616629328,8.135690733060708,3.2432114643479055,240.33953083146642,121.30890398179119,0.17481136322021484,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,5,0.01577059737104393,1000,6.493040035568074,8.771941138432215,3.4956547478831665,324.6520017784037,110.0975472118299,0.16926908493041992,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,6,0.01577059737104393,1000,6.562548181558014,9.51815899420252,2.291300153998516,328.12740907790067,73.8804004497109,0.1717536449432373,False,0.15
50,ring,{},metropolis,0.5,0.0,0.2,7,0.01577059737104393,1000,4.773999160912068,6.62877659158159,3.045540228285912,238.69995804560344,69.55173097043904,0.17345380783081055,False,0.15
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,0,0.6611307083574083,52,2.6211729078863214e-08,0.0009543739819533048,0.563230475511465,1.3105864539431607e-06,1.3105864539431607e-06,0.020285367965698242,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,1,0.4037705874725945,81,3.712262043381241e-08,0.000956934437479684,0.5397635374454728,1.8561310216906204e-06,1.8561310216906204e-06,0.036510467529296875,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,2,0.522449322681841,57,1.652005840656792e-08,0.0009967656493431454,0.5380849566858035,8.260029203283961e-07,8.260029203283961e-07,0.025592327117919922,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,3,0.3879176174587149,75,3.3278508493940055e-08,0.000978387409146575,0.5705718820883693,1.6639254246970026e-06,1.6639254246970026e-06,0.021093130111694336,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,4,0.44071972901512785,52,2.426517433984468e-08,0.000967764886305289,0.4977797063829097,1.2132587169922341e-06,1.2132587169922341e-06,0.021785974502563477,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,5,0.4085482555584744,86,3.729821448317989e-08,0.000971162037067208,0.447719810398563,1.8649107241589943e-06,1.8649107241589943e-06,0.028100252151489258,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,6,0.7226188710564255,57,1.6630353035808606e-08,0.0009153854193298949,0.5081642852805044,8.315176517904304e-07,8.315176517904304e-07,0.018404006958007812,True,0.01
50,erdos_renyi,{'p': 0.08},metropolis,0.5,0.0,0.0,7,0.7720159420952071,58,1.874903634067382e-08,0.0009769229819367453,0.44865082608943413,9.374518170336909e-07,9.374518170336909e-07,0.020002126693725586,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,0,0.14345223331234455,113,8.514776183867728e-08,0.0009762068172066707,0.6081157302550089,4.257388091933864e-06,4.257388091933864e-06,0.03513383865356445,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,1,0.17975999509077367,113,1.0265174639138644e-07,0.0009752957133650764,0.5397635374454716,5.132587319569322e-06,5.132587319569322e-06,0.029633522033691406,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,2,0.20371209514816815,112,9.265865788718937e-08,0.0009775397246254425,0.5822012159798374,4.632932894359468e-06,4.632932894359468e-06,0.026925325393676758,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,3,0.25798755208348956,100,8.523562429201539e-08,0.0009824236647454354,0.5705718820883681,4.261781214600769e-06,4.261781214600769e-06,0.02498936653137207,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,4,0.292191352234784,85,7.677161531598057e-08,0.0009676931237836417,0.5085543585748706,3.838580765799029e-06,3.838580765799029e-06,0.022000789642333984,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,5,0.31016367153251817,87,9.243598968997972e-08,0.0009841040720431904,0.4477198103985629,4.621799484498986e-06,4.621799484498986e-06,0.021680116653442383,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,6,0.17432502229838928,135,1.0641356413745449e-07,0.0009971918983842087,0.5081642852805031,5.320678206872725e-06,5.320678206872725e-06,0.0318608283996582,True,0.01
50,watts_strogatz,"{'k': 4, 'p': 0.1}",metropolis,0.5,0.0,0.0,7,0.37241008654933333,71,1.0201167021445447e-07,0.00099546976861975,0.44865082608943413,5.100583510722724e-06,5.100583510722724e-06,0.017360448837280273,True,0.01
